SCHOOLNAME,RPI,OPPONENT RPI RANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD ROAD L10,1-25,26-50,51-100 101-150,VTOP100,VBELOW150
Providence,192,112,65,10-19,170,6-6,3,4-13,3-7,3-7,0-4,1-4,3-3,1-6,4-11,5-2
Valparaiso,193,214,294,16-13,221,4-7,29,12-6,4-8,8-2,0-1,0-0,0-2,1-2,0-3,15-8
Marist,194,189,236,14-14,239,4-5,18,10-9,5-9,7-3,0-0,0-0,1-4,2-5,1-4,11-5
Portland St.,195,164,164,12-14,193,5-4,14,7-10,5-7,3-7,0-0,0-1,2-7,0-4,2-8,10-2
Idaho,196,160,155,10-17,159,4-6,19,6-11,2-11,3-7,0-1,0-3,0-5,3-2,0-9,7-6
Boise St.,197,166,167,12-15,131,6-5,19,6-10,5-8,5-5,0-1,0-3,2-3,1-1,2-7,9-7
Hampton,198,226,312,17-12,232,3-6,31,14-6,9-6,7-3,0-0,0-0,0-3,0-2,0-3,17-7
Houston,199,106,50,8-22,154,5-7,7,3-15,1-10,1-9,0-3,0-2,2-11,2-6,2-16,4-0
Wofford,200,178,202,12-16,257,2-7,22,10-9,2-14,5-5,0-1,0-0,0-6,0-2,0-7,12-7
UC Santa Barbara,201,184,220,12-14,272,2-7,19,10-7,5-9,7-3,0-1,0-3,0-4,0-1,0-8,12-5
Jackson St.,202,208,282,16-16,216,3-8,33,13-8,5-10,7-3,0-1,0-1,0-2,1-1,0-4,15-11
Southern Utah,203,214,294,14-13,228,2-6,29,12-7,2-11,6-4,0-0,0-2,0-0,1-2,0-2,13-9
UC Irvine,204,184,220,12-14,158,5-4,19,7-10,4-8,6-4,0-1,0-2,0-5,0-1,0-8,12-5
Wichita St.,205,134,110,11-17,161,5-3,12,6-14,1-10,5-5,0-1,1-5,1-4,1-3,2-10,8-4
UMKC,206,218,302,14-13,217,3-6,29,11-7,5-9,7-3,0-1,1-0,0-1,0-1,1-2,13-10
Western Ky.,207,163,163,11-18,251,2-9,20,9-9,2-12,5-5,0-0,0-0,1-4,1-9,1-4,9-5
East Tenn. St.,208,183,216,12-15,231,3-6,22,9-9,5-9,6-4,0-0,0-0,0-8,1-0,0-8,11-7
Monmouth,209,187,229,12-16,234,3-6,24,9-10,5-9,4-6,0-0,0-2,0-3,2-1,0-5,10-10
Texas A&M,210,123,90,8-20,267,4-7,5,4-13,1-12,2-8,1-7,0-1,1-3,0-3,2-11,6-6
Oakland,211,187,229,12-17,262,1-12,29,11-5,6-9,7-3,0-2,0-2,0-2,0-2,0-6,12-9
Southern U.,212,243,318,16-11,318,0-6,33,16-5,6-8,6-4,0-0,0-0,0-0,0-1,0-0,16-10
Jacksonville St.,213,224,311,16-11,253,4-4,27,12-7,7-5,5-5,0-0,0-0,0-1,1-2,0-1,15-8
Drake,214,143,129,11-18,174,6-3,12,5-15,1-12,1-9,1-0,0-5,1-4,1-3,2-9,8-6
Tenn.-Martin,215,148,134,8-19,189,1-7,17,7-12,2-13,2-8,0-1,1-0,1-6,1-6,2-7,5-6
