SCHOOLNAME,RPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,200-999,VTOP100,VBELOWO164
Brown,148,17-12,228,5-10,23,12-2,10-7,7-3,0-1,0-6,4-5,13-0,0-7,13-0
Davidson,149,14-10,115,3-4,19,11-6,6-6,6-4,0-3,1-2,4-2,9-3,1-5,9-3
Princeton,150,15-11,169,5-7,23,10-4,7-7,6-4,0-2,2-3,3-3,10-3,2-5,11-3
Ark.-LittleRock,151,16-12,157,7-5,15,9-7,4-8,6-4,0-1,1-5,4-5,11-1,1-6,12-2
Iona,152,17-12,194,5-3,16,12-9,4-8,6-4,1-0,2-5,3-5,11-2,3-5,12-4
IUPUI,153,19-14,182,6-10,27,13-4,7-7,8-2,0-3,1-5,5-3,13-3,1-8,15-4
Evansville,154,12-16,67,4-5,14,8-11,3-10,4-6,1-5,3-0,4-7,4-4,4-5,6-5
SouthAla.,155,12-14,106,5-5,15,7-9,3-10,4-6,0-4,1-2,6-6,5-2,1-6,9-4
Delaware,156,15-14,136,5-4,17,10-10,5-8,4-6,0-1,1-5,6-4,8-4,1-6,10-5
Loyola(Ill.),157,15-16,193,5-8,13,10-8,5-11,6-4,1-3,1-7,2-4,11-2,2-10,12-2
EastCaro.,158,10-15,119,7-2,8,3-13,3-9,1-9,1-6,0-6,6-2,3-1,1-12,5-1
AirForce,159,12-16,140,9-4,6,3-12,3-10,2-8,1-7,1-4,2-4,8-1,2-11,9-2
OregonSt.,160,12-15,158,6-2,7,6-13,6-7,2-8,0-9,0-2,6-2,6-2,0-11,9-2
AppalachianSt.,161,16-10,177,4-4,19,12-6,6-7,5-5,0-2,1-2,3-4,12-2,1-4,12-2
Toledo,162,13-16,109,6-4,11,7-12,4-10,4-6,1-3,1-3,8-7,3-3,2-6,5-6
Yale,163,13-13,130,5-7,23,8-6,6-9,6-4,0-3,2-4,1-5,10-1,2-7,11-1
Northwestern,164,12-17,173,8-3,5,4-14,1-8,3-7,2-7,1-9,3-1,6-0,3-16,8-0
Washington,165,10-17,139,5-4,7,5-13,2-10,3-7,1-9,2-1,2-5,5-2,3-10,5-2
GeorgeWashington,166,12-17,131,6-5,9,6-12,5-10,4-6,1-8,1-3,2-4,8-2,2-11,9-5
Hartford,166,15-13,186,4-6,25,11-7,4-9,6-4,0-2,0-1,2-4,13-6,0-3,13-6
UNCAsheville,168,14-17,129,4-10,29,10-7,3-14,5-5,0-5,0-3,2-4,12-5,0-8,14-8
Miami(Fla.),169,11-17,160,7-4,4,4-13,2-10,2-8,3-8,1-7,3-1,4-1,4-15,6-1
American,170,16-14,199,5-8,26,11-6,3-13,7-3,0-1,1-6,1-1,14-6,1-7,15-7
Marist,171,13-16,156,4-5,16,9-11,5-7,5-5,0-1,1-5,3-7,9-3,1-6,10-3
NewMexico,172,9-18,213,5-7,6,4-11,0-10,3-7,1-8,1-4,2-5,5-1,2-12,5-1
BowlingGreen,173,11-16,219,2-5,11,9-11,4-10,3-7,0-3,1-5,6-7,4-1,1-8,5-2
LaSalle,174,12-17,137,6-5,9,6-12,3-10,3-7,0-7,0-6,4-4,8-0,0-13,10-2
Denver,175,17-15,195,8-6,15,9-9,2-9,5-5,0-1,1-5,4-7,12-2,1-6,13-3
JacksonvilleSt.,176,19-10,165,9-3,22,10-7,7-7,7-3,0-1,0-2,2-4,17-3,0-3,17-3
OralRoberts,177,17-10,114,8-4,27,9-6,5-8,5-5,0-0,1-3,4-2,12-5,1-3,12-5
Texas-Arlington,178,14-13,200,1-5,24,13-8,6-9,7-3,0-2,0-2,4-5,10-4,0-4,13-6
LouisianaTech,179,10-15,239,1-5,12,9-10,3-10,4-6,0-3,3-3,3-7,4-2,3-6,5-3
McNeeseSt.,180,13-14,61,2-3,24,11-11,5-11,5-5,0-3,1-3,3-4,9-4,1-6,11-7
SouthCarolinaSt.,181,20-11,290,2-8,30,18-3,8-7,7-3,0-3,0-1,5-0,15-7,0-4,20-7
Akron,182,13-14,196,4-4,11,9-10,4-9,5-5,1-1,1-2,7-7,4-4,2-3,6-6
NewOrleans,183,13-14,149,6-5,15,7-9,1-12,3-7,0-2,0-4,5-6,8-2,0-6,10-4
IdahoSt.,184,13-14,171,5-6,18,8-8,3-9,4-6,0-3,0-3,3-2,10-6,0-6,10-7
Winthrop,185,17-10,232,5-6,29,12-4,9-4,7-3,0-1,0-0,4-4,13-5,0-1,17-6
VirginiaTech,186,11-18,201,7-6,4,4-12,1-10,3-7,2-6,4-5,2-5,3-2,6-11,4-4
EasternIll.,187,13-15,164,4-7,21,9-8,4-12,7-3,0-3,1-3,4-7,8-2,1-6,9-3
PennSt.,188,7-21,159,5-6,5,2-15,0-11,2-8,2-9,0-9,0-3,5-0,2-18,5-0
Birmingham-So.,189,17-9,179,15-9,32,2-0,7-7,7-3,0-0,1-2,1-4,15-3,1-2,16-6
Bradley,190,11-18,185,3-7,14,8-11,3-10,5-5,1-6,0-1,2-9,8-2,1-7,8-2
Monmouth,191,15-13,272,2-7,28,13-6,9-5,5-5,0-1,0-4,1-2,14-6,0-5,15-6
Quinnipiac,192,16-12,144,5-3,28,11-9,7-8,7-3,0-1,1-4,0-2,15-5,1-5,15-7
TCU,193,9-19,133,6-6,8,3-13,2-12,2-8,0-7,1-4,4-5,4-3,1-11,4-3
BoiseSt.,194,12-16,145,5-4,12,7-12,4-8,3-7,0-1,2-5,3-9,7-1,2-6,9-3
CalPoly,195,15-14,230,3-5,20,12-9,6-6,7-3,0-1,0-3,5-5,10-5,0-4,11-6
Hampton,196,19-11,218,3-5,30,16-6,7-6,7-3,0-1,1-1,3-5,15-4,1-2,18-8
Marshall,197,13-15,267,3-5,11,10-10,3-10,5-5,0-1,2-3,6-8,5-3,2-4,7-4
FloridaA&M,198,15-12,101,3-4,30,12-8,6-7,7-3,0-3,0-1,1-4,14-4,0-4,14-8
SouthwestTexSt.,199,15-12,162,3-2,24,12-10,4-10,4-6,0-0,1-1,4-6,10-5,1-1,13-7
OldDominion,200,12-15,220,3-5,17,9-10,4-8,3-7,0-3,3-2,2-7,7-3,3-5,8-4
Oakland,201,15-11,202,5-6,27,10-5,4-7,8-2,0-1,0-3,3-5,12-2,0-4,13-6
DelawareSt.,202,15-12,155,2-6,30,13-6,4-11,7-3,0-3,1-0,3-5,11-4,1-3,14-7
Samford,203,12-15,216,3-7,22,9-8,4-11,6-4,0-0,0-5,1-9,11-1,0-5,12-2
EasternMich.,204,12-14,223,4-3,11,8-11,2-10,5-5,1-1,1-3,5-8,5-2,2-4,7-5
PrairieView,205,17-12,224,2-7,31,15-5,7-9,7-3,0-2,0-3,0-2,17-5,0-5,17-5
Pacific(Cal.),206,12-16,85,5-4,20,7-12,3-10,1-9,1-0,2-3,1-8,8-5,3-3,8-7
Harvard,207,11-15,79,7-5,23,4-10,6-7,2-8,0-1,2-4,1-7,8-3,2-5,8-3
Binghamton,208,14-13,233,5-6,25,9-7,3-11,4-6,0-1,0-2,3-5,11-5,0-3,13-7
Massachusetts,209,10-18,188,5-7,9,5-11,2-8,4-6,0-8,2-5,3-2,5-3,2-13,7-5
SantaClara,210,12-15,150,8-4,10,4-11,5-7,2-8,0-3,1-2,5-5,6-5,1-5,6-6
Montana,211,12-16,207,5-8,18,7-8,5-7,5-5,1-5,0-0,3-4,8-7,1-5,11-8
CentralConnSt.,212,15-13,265,3-6,28,12-7,5-7,5-5,0-1,0-3,2-4,13-5,0-4,15-7
Houston,213,8-20,260,2-9,8,6-11,1-11,2-8,0-5,1-5,6-9,1-1,1-10,4-3
Rider,214,12-16,175,5-4,16,7-12,4-9,5-5,0-1,1-3,6-6,5-6,1-4,7-7
GaSouthern,215,13-13,237,4-4,19,9-9,6-7,5-5,0-0,1-5,2-5,10-3,1-5,10-3
NorthernAriz.,216,13-13,170,7-4,18,6-9,4-9,5-5,0-3,0-0,3-5,10-5,0-3,12-8
GeorgiaSt.,217,13-15,248,4-6,22,9-9,6-9,4-6,0-3,0-3,2-5,11-4,0-6,11-6
