SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
Canisius,253,225,266,12-20,7-14,5-6,4-12,241,210,0-0,0-1,5-8,7-11
Lipscomb,254,220,254,14-16,11-8,3-8,7-11,201,72,0-4,1-3,1-2,12-7
La.-Monroe,255,172,145,7-20,5-15,2-5,2-12,128,22,0-2,0-5,1-10,6-3
N.CCentral,256,251,337,15-13,14-3,1-10,5-13,320,45,0-2,0-3,0-4,15-4
UMassLowell,257,225,266,12-19,7-10,5-9,5-10,254,265,0-2,0-2,2-3,10-12
Campbell,258,258,347,13-16,6-13,7-3,6-10,343,350,0-0,0-0,2-6,11-10
Elon,259,185,177,10-21,9-12,1-9,3-12,196,302,0-2,0-4,3-10,7-5
UTRGV,260,212,236,10-16,9-7,1-9,3-11,202,50,0-3,0-2,0-6,10-5
CalStFullerton,261,198,208,9-20,6-10,3-10,4-11,269,233,0-2,1-2,1-9,7-7
Milwaukee,262,219,251,10-19,7-12,3-7,4-9,240,175,0-2,0-1,3-6,7-10
N.CA&T,263,242,315,16-15,13-4,3-11,4-12,315,73,0-2,0-4,1-4,15-5
Evansville,264,157,123,8-23,0-19,8-4,3-10,164,287,1-1,0-5,3-12,4-5
SouthernU.,265,254,340,15-15,14-5,1-10,5-14,326,54,0-2,0-3,0-6,15-4
ArmyWestPoint,266,234,300,14-15,10-9,4-6,6-9,281,329,0-1,0-1,2-6,12-7
LamarUniversity,267,242,315,14-15,11-10,3-5,6-10,287,168,0-1,0-3,1-4,13-7
Albany(NY),268,229,283,13-18,7-10,6-8,5-11,283,304,0-1,0-2,3-6,10-9
Manhattan,269,234,300,13-18,9-13,4-5,5-11,277,319,0-1,0-1,1-7,12-9
TennesseeSt.,270,233,296,16-15,10-10,6-5,4-11,278,241,0-2,0-3,1-5,15-5
Wyoming,271,136,94,8-24,4-17,4-7,3-8,126,326,0-6,1-6,2-8,5-4
LIUBrooklyn,272,232,293,14-18,10-10,4-8,6-11,248,107,0-3,0-0,0-7,14-8
WeberSt.,273,178,158,9-20,8-13,1-7,4-9,149,56,0-2,0-3,2-11,7-4
Troy,274,189,186,7-22,5-15,2-7,3-13,220,295,0-1,2-1,2-11,3-9
Portland,275,156,120,7-23,1-16,6-7,2-10,142,277,0-6,0-4,2-9,5-4
TexasSouthern,276,223,262,15-16,13-6,2-10,5-15,205,2,0-6,0-2,1-3,14-5
UNCAsheville,277,257,346,13-16,9-11,4-5,5-10,337,322,0-1,0-1,1-4,12-10
GrandCanyon,278,212,236,13-16,8-8,5-8,4-6,262,147,0-1,0-4,2-4,11-7
IdahoSt.,279,191,192,6-22,5-16,1-6,3-13,190,207,0-0,0-5,3-8,3-9
JamesMadison,280,197,205,8-21,2-17,6-4,3-11,213,231,0-1,0-2,1-11,7-7
FairleighDickinson,281,229,283,10-19,9-10,1-9,4-14,263,123,0-2,0-1,1-5,9-11
PurdueFortWayne,282,213,239,11-19,7-11,4-8,3-13,297,321,0-1,0-5,1-7,10-6
CSUBakersfield,283,207,228,9-19,6-10,3-9,3-12,227,94,0-3,0-3,0-4,9-9
JacksonvilleSt.,284,242,315,11-19,8-11,3-8,4-11,346,344,0-3,0-2,0-4,11-10
Fairfield,285,217,247,12-20,8-13,4-7,6-9,245,243,0-2,0-1,2-7,10-10
Bethune-Cookman,286,258,347,13-14,10-6,3-8,4-13,339,245,0-3,0-1,0-2,13-8
SanJoseSt.,287,129,87,6-24,3-16,3-8,1-12,100,84,0-3,1-8,3-8,2-5
Lehigh,288,199,210,9-21,8-12,1-9,3-15,132,51,0-2,0-4,2-7,7-8
JacksonSt.,289,252,338,13-17,12-7,1-10,6-14,333,146,0-2,0-3,0-5,13-7
SouthernMiss.,290,158,126,6-22,5-13,1-9,1-12,181,41,0-3,0-4,1-8,5-7
EasternKy.,291,228,277,14-17,13-7,1-10,5-10,191,99,0-2,0-2,1-8,13-5
VMI,292,191,192,6-24,4-16,2-8,2-12,223,347,0-3,0-5,1-9,5-7
Cornell,293,188,183,5-20,4-10,1-10,1-14,176,234,0-3,0-4,1-5,4-8
Stetson,294,229,283,14-17,10-8,4-9,7-9,290,285,1-3,1-1,0-2,12-11
McNeese,295,248,334,11-17,10-11,1-6,5-11,332,76,0-3,0-0,1-5,10-9
MiddleTenn.,296,171,143,5-23,4-14,1-9,3-10,165,31,0-1,0-3,1-15,4-4
UNCW,297,176,154,7-22,5-14,2-8,1-12,179,223,0-2,0-3,4-8,3-9
NorthAla.,298,232,293,11-17,8-9,3-8,4-13,309,264,0-4,0-3,0-2,11-8
MtStMary's,299,235,304,10-21,7-12,3-9,3-15,291,300,0-3,0-0,0-6,10-12
Grambling,300,260,350,13-15,11-8,2-7,6-12,353,266,0-3,0-0,0-4,13-8
NorthwesternSt.,301,247,331,12-15,12-9,0-6,5-10,342,248,0-1,0-3,1-3,11-8
Longwood,302,268,353,12-18,9-10,3-8,6-11,341,330,0-0,0-1,1-6,11-11
FloridaA&M,303,231,291,12-15,10-6,2-9,4-13,323,178,0-3,1-2,1-3,10-7
ClevelandSt.,304,196,203,10-21,7-12,3-9,3-13,208,102,0-3,0-3,0-11,10-4
StFrancisBrooklyn,305,245,325,12-18,7-12,5-6,4-13,293,314,0-1,0-0,0-7,12-10
LongBeachSt.,306,168,139,9-21,6-10,3-11,2-13,182,74,1-5,0-2,3-7,5-7
DetroitMercy,307,193,198,8-23,6-12,2-11,2-14,209,164,0-3,0-3,2-9,6-8
Hampton,308,227,276,12-19,10-11,2-8,3-14,192,133,0-1,0-3,2-6,10-9
Niagara,309,214,241,12-20,10-11,2-9,2-17,184,64,0-2,0-2,3-6,9-10
NJIT,310,222,258,8-21,6-11,2-10,4-14,279,274,0-5,0-3,1-1,7-12
Marist,311,249,335,7-23,6-15,1-8,3-12,321,353,0-0,0-0,0-6,7-17
FGCU,312,213,239,8-22,7-10,1-12,4-12,229,115,0-4,0-2,0-5,8-11
MorganSt.,313,256,344,12-16,9-7,3-9,7-7,352,224,0-1,0-2,2-3,10-10
A&M-CorpusChristi,314,242,315,12-18,10-11,2-7,4-11,327,262,0-0,1-1,0-9,11-8
CentralArk.,315,203,216,9-21,9-11,0-10,2-16,157,6,0-5,0-3,0-6,9-7
CharlestonSo.,316,244,323,12-18,8-12,4-6,5-11,299,109,0-2,1-1,1-4,10-11
Columbia,317,192,196,5-24,1-13,4-11,0-16,212,268,0-3,0-5,0-9,5-7
Maine,318,204,222,8-22,5-12,3-10,3-15,218,275,0-3,0-5,0-5,8-9
USCUpstate,319,232,293,11-20,8-12,3-8,4-13,246,110,0-3,0-1,0-7,11-9
Idaho,320,195,201,6-24,4-17,2-7,2-12,224,278,0-0,1-2,1-14,4-8
MoreheadSt.,321,246,327,11-19,7-12,4-7,2-14,336,343,0-1,0-3,0-5,11-10
CoppinSt.,322,247,331,11-20,7-9,4-11,6-15,351,259,0-1,1-3,1-4,9-12
CalPoly,323,184,174,5-23,4-12,1-11,0-15,134,19,0-4,0-2,1-8,4-9
Alcorn,324,254,340,11-15,11-8,0-7,4-13,350,161,0-2,0-1,0-4,11-8
Samford,325,179,161,7-23,4-15,3-8,3-14,187,253,0-3,0-7,0-9,7-4
Denver,326,197,205,6-24,3-14,3-10,0-14,221,232,0-1,0-5,1-9,5-9
IUPUI,327,210,231,5-25,3-16,2-9,3-14,264,244,0-1,1-4,2-7,2-13
Wagner,328,230,288,7-21,5-13,2-8,3-13,282,144,0-3,0-0,1-4,6-14
SouthCarolinaSt.,329,258,347,9-18,6-11,3-7,3-12,330,151,0-2,0-1,0-3,9-12
Presbyterian,330,245,325,8-22,7-12,1-10,3-14,303,311,0-2,0-1,1-4,7-15
TennesseeTech,331,226,271,7-22,6-12,1-10,3-12,222,57,0-0,0-4,1-6,6-12
Binghamton,332,219,251,8-19,4-12,4-7,3-12,252,257,0-1,0-2,3-4,5-12
HighPoint,333,222,258,7-23,6-13,1-10,3-14,204,42,0-2,0-1,0-10,7-10
WesternIll.,334,212,236,3-21,2-14,1-7,1-11,267,290,0-1,1-2,0-6,2-12
