SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Gonzaga,31,149,113,25-7,23,11-5,14,14-2,7-3,10-2,4-5,4-2,5-0,12-0,8-7,15-0
Grambling,328,249,336,7-17,311,0-5,31,7-12,3-11,5-7,0-1,0-1,0-3,7-12,0-2,7-14
Green Bay,147,150,117,15-15,133,6-5,11,9-10,3-12,5-7,0-6,3-4,3-4,9-1,3-10,11-3
Hampton,150,206,266,18-12,108,7-6,30,11-6,5-9,7-5,0-1,2-3,2-4,14-4,2-4,16-4
Hartford,177,208,274,18-16,188,6-9,27,12-7,4-13,8-4,0-2,1-3,2-6,15-5,1-5,17-8
Harvard,306,194,232,8-22,244,5-11,25,3-11,0-15,2-10,0-1,0-3,3-10,5-8,0-4,8-14
Hawaii,272,178,181,11-19,283,4-9,20,7-10,2-9,4-8,0-0,1-10,1-5,9-4,1-10,9-6
High Point,231,221,313,13-14,297,4-7,28,9-7,3-11,7-5,0-1,0-3,2-4,11-6,0-4,11-7
Hofstra,242,180,189,12-18,275,4-7,13,8-11,4-10,7-5,0-0,1-5,2-9,9-4,1-5,11-8
Holy Cross,148,170,157,15-14,62,10-4,16,5-10,7-8,6-6,1-1,2-4,5-4,7-5,3-5,11-9
Houston,81,166,146,22-9,69,11-3,10,11-6,4-5,7-5,0-4,2-2,10-2,10-1,2-6,15-1
Howard,332,212,286,6-26,306,3-12,30,3-14,1-16,1-11,0-1,0-1,1-9,5-15,0-2,6-15
 IPFW,218,176,176,11-18,266,3-10,22,8-8,2-14,6-6,0-4,0-7,3-2,8-5,0-11,11-6
 IUPUI,69,201,253,23-7,83,10-3,22,13-4,7-5,10-2,1-1,1-3,5-2,16-1,2-4,20-2
 Idaho,299,191,222,7-21,330,2-9,20,5-12,2-14,4-8,0-2,0-7,0-4,7-8,0-9,7-9
 Idaho St.,258,194,232,10-19,318,1-10,26,9-9,4-12,5-7,0-3,0-5,2-4,8-7,0-8,9-9
 Ill.-Chicago,136,147,109,17-15,136,6-5,11,11-10,5-10,7-5,0-4,2-6,8-3,7-2,2-10,12-3
 Illinois,103,106,24,16-18,82,8-5,6,8-13,3-8,6-6,1-13,5-2,7-3,3-1,6-15,8-4
 Illinois St.,33,129,84,23-9,58,8-3,8,15-6,7-5,9-3,2-5,3-0,12-3,6-1,5-5,8-1
 Indiana,22,119,59,25-7,27,11-2,6,14-5,7-3,8-4,5-5,5-1,8-1,7-0,10-6,11-1
 Indiana St.,128,126,78,14-16,153,5-5,8,9-11,2-13,5-7,2-7,1-2,5-7,6-0,3-9,9-2
 Iona,226,185,204,12-20,224,4-9,18,8-11,5-12,5-7,0-3,0-2,4-10,8-5,0-5,10-6
 Iowa,191,134,87,13-19,185,7-6,6,6-13,3-8,4-8,2-9,0-3,4-6,7-1,2-12,10-5
 Iowa St.,179,125,75,13-18,143,9-5,3,4-13,1-10,2-10,1-10,2-3,3-5,7-0,3-13,9-1
Jackson St.,270,232,326,14-20,259,2-11,31,12-9,4-11,7-5,0-3,0-3,0-3,14-11,0-6,14-14
Jacksonville,164,217,301,17-13,189,10-8,23,7-5,7-10,8-4,0-3,0-5,2-1,15-4,0-8,17-4
Jacksonville St.,339,241,335,5-22,340,0-7,29,5-15,1-12,3-9,0-0,0-2,0-3,5-17,0-2,5-19
James Madison,215,186,208,13-17,134,8-3,13,5-14,3-11,3-9,0-0,2-3,3-9,8-5,2-3,10-10
Kansas,7,116,50,29-3,12,14-0,3,15-3,8-3,10-2,8-2,7-1,11-0,4-0,15-3,10-0
Kansas St.,50,116,50,19-11,56,9-4,3,10-7,3-5,5-7,3-6,3-4,8-1,5-0,6-10,10-0
Kennesaw St.,324,231,325,9-20,320,5-18,32,4-2,2-13,7-5,0-2,1-1,0-6,8-11,1-3,8-16
Kent St.,21,153,122,28-6,29,12-3,12,16-3,8-5,11-1,2-2,9-1,6-1,11-2,11-3,13-3
